model,batch size,simulated memmory,e2e memory,fragmentation,e2e time
gpt2-XL,1,30467.764282226562,30480.281074523926,0.04%,5903.920417070389
gpt2-XL,2,43663.83459472656,43731.04651641846,0.15%,6659.663418054581
gpt2-XL,3,70727.3321647644,70852.26984405518,0.18%,6338.559254169464
